CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE
HENRY,1,ANDAMAN AND NICOBAR ISLANDS,994,Independent,0,U01,ANDAMAN AND NICOBAR ISLANDS,994,0.48
AYYAJI VEMA MANEPALLI,7,AMALAPURAM,11376,Bharatiya Janata Party,158,S01,ANDHRA PRADESH,11534,0.94
GANTI HARISH MADHUR (BALAYOGI),7,AMALAPURAM,443590,Telugu Desam,2573,S01,ANDHRA PRADESH,446163,36.19
CHINTA ANURADHA,7,AMALAPURAM,482003,Yuvajana Sramika Rythu Congress Party,3955,S01,ANDHRA PRADESH,485958,39.42
JANGA GOUTHAM,7,AMALAPURAM,7849,Indian National Congress,38,S01,ANDHRA PRADESH,7887,0.64
CHELLE RAJANI,7,AMALAPURAM,1231,Jana Jagruti Party,0,S01,ANDHRA PRADESH,1231,0.1
PANTHAGADA VIJAYA CHAKRAVARTHY,7,AMALAPURAM,1804,Republican Party of India (Khobragade),0,S01,ANDHRA PRADESH,1804,0.15
MURALIKRISHNA KANDERI,7,AMALAPURAM,1803,India Praja Bandhu Party,1,S01,ANDHRA PRADESH,1804,0.15
MORTHA SIVA RAMA KRISHNA,7,AMALAPURAM,1950,Pyramid Party of India,4,S01,ANDHRA PRADESH,1954,0.16
D M R SEKHAR,7,AMALAPURAM,253740,Janasena Party,1577,S01,ANDHRA PRADESH,255317,20.71
REVU SUDHAKAR,7,AMALAPURAM,2774,Independent,1,S01,ANDHRA PRADESH,2775,0.23
ADARI ANAND KUMAR,5,ANAKAPALLE,495381,Telugu Desam,1653,S01,ANDHRA PRADESH,497034,40.13
DR. GANDI VENKATA SATYANARAYANA RAO (DR VIKRAM),5,ANAKAPALLE,12888,Bharatiya Janata Party,388,S01,ANDHRA PRADESH,13276,1.07
DR.BEESETTI VENKATA SATYAVATHI,5,ANAKAPALLE,583210,Yuvajana Sramika Rythu Congress Party,3016,S01,ANDHRA PRADESH,586226,47.33
RUTHALA SRIRAMA MURTHY,5,ANAKAPALLE,10072,Indian National Congress,49,S01,ANDHRA PRADESH,10121,0.82
P.S.AJAY KUMAR,5,ANAKAPALLE,2708,Communist Party of India  (Marxist-Leninist)  (Liberation),8,S01,ANDHRA PRADESH,2716,0.22
K B SWAROOP,5,ANAKAPALLE,1615,Jana Jagruti Party,6,S01,ANDHRA PRADESH,1621,0.13
CHINTALA PARTHA SARATHI,5,ANAKAPALLE,82126,Janasena Party,462,S01,ANDHRA PRADESH,82588,6.67
TAADI VEERA JAGADEESHWARI,5,ANAKAPALLE,1801,Pyramid Party of India,2,S01,ANDHRA PRADESH,1803,0.15
VADLAMURI KRISHNA SWAROOP,5,ANAKAPALLE,4443,Dalita Bahujana Party,1,S01,ANDHRA PRADESH,4444,0.36
APPALA NAIDU TUMMAGUNTA,5,ANAKAPALLE,3760,Independent,5,S01,ANDHRA PRADESH,3765,0.3
D.JAGADEESH,19,ANANTAPUR,20192,Communist Party of India,102,S01,ANDHRA PRADESH,20294,1.51
TALARI RANGAIAH,19,ANANTAPUR,690901,Yuvajana Sramika Rythu Congress Party,4307,S01,ANDHRA PRADESH,695208,51.79
J.C. PAVAN REDDY,19,ANANTAPUR,550597,Telugu Desam,3183,S01,ANDHRA PRADESH,553780,41.26
K.RAJIV REDDY,19,ANANTAPUR,29994,Indian National Congress,85,S01,ANDHRA PRADESH,30079,2.24
HAMSA DEVINENI,19,ANANTAPUR,7440,Bharatiya Janata Party,164,S01,ANDHRA PRADESH,7604,0.57
GADIDAMA RANGANAYAKULU,19,ANANTAPUR,728,Vishwa Jana Party,0,S01,ANDHRA PRADESH,728,0.05
P.RADHA KRISHNA,19,ANANTAPUR,1219,Radical Democrats,1,S01,ANDHRA PRADESH,1220,0.09
G. LALITHA,19,ANANTAPUR,890,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9,S01,ANDHRA PRADESH,899,0.07
M.VENKATESULU,19,ANANTAPUR,1043,Pyramid Party of India,5,S01,ANDHRA PRADESH,1048,0.08
S.V.P. YADAV,19,ANANTAPUR,4398,Independent,0,S01,ANDHRA PRADESH,4398,0.33
P. RANGAIAH,19,ANANTAPUR,3580,Independent,8,S01,ANDHRA PRADESH,3588,0.27
L. RANGAIAH,19,ANANTAPUR,1688,Independent,3,S01,ANDHRA PRADESH,1691,0.13
VADDE KASINATH,19,ANANTAPUR,2063,Independent,3,S01,ANDHRA PRADESH,2066,0.15
SOMANATH DESHMUKH,19,ANANTAPUR,3236,Independent,1,S01,ANDHRA PRADESH,3237,0.24
KISHORE CHANDRA DEO,1,ARAKU,336163,Telugu Desam,1938,S01,ANDHRA PRADESH,338101,31.46
DR. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,1,ARAKU,17578,Bharatiya Janata Party,289,S01,ANDHRA PRADESH,17867,1.66
GODDETI. MADHAVI,1,ARAKU,557561,Yuvajana Sramika Rythu Congress Party,4629,S01,ANDHRA PRADESH,562190,52.32
SHRUTI DEVI VYRICHERLA,1,ARAKU,17656,Indian National Congress,74,S01,ANDHRA PRADESH,17730,1.65
GANGULAIAH VAMPURU.,1,ARAKU,42245,Janasena Party,549,S01,ANDHRA PRADESH,42794,3.98
SWAMULA. SUBRAHMANYAM,1,ARAKU,4705,Jana Jagruti Party,5,S01,ANDHRA PRADESH,4710,0.44
ANUMULA VAMSIKRISHNA,1,ARAKU,10211,Independent,29,S01,ANDHRA PRADESH,10240,0.95
KANGALA BALUDORA,1,ARAKU,13810,Independent,16,S01,ANDHRA PRADESH,13826,1.29
NARAVA SATYAVATHI,1,ARAKU,11231,Independent,5,S01,ANDHRA PRADESH,11236,1.05
BIDDIKA RAMAYYA.,1,ARAKU,7863,Independent,4,S01,ANDHRA PRADESH,7867,0.73
CHALLAGALI KISHORE KUMAR,15,BAPATLA,9842,Bharatiya Janata Party,509,S01,ANDHRA PRADESH,10351,0.82
K. DEVANAND,15,BAPATLA,42262,Bahujan Samaj Party,318,S01,ANDHRA PRADESH,42580,3.36
NANDIGAM SURESH,15,BAPATLA,592250,Yuvajana Sramika Rythu Congress Party,6007,S01,ANDHRA PRADESH,598257,47.24
MALYADRI SRIRAM,15,BAPATLA,577403,Telugu Desam,4789,S01,ANDHRA PRADESH,582192,45.97
J.D. SEELAM,15,BAPATLA,12941,Indian National Congress,214,S01,ANDHRA PRADESH,13155,1.04
KUMAR KATTEPOGU,15,BAPATLA,877,Pyramid Party of India,8,S01,ANDHRA PRADESH,885,0.07
GADDE HARI BABU,15,BAPATLA,521,Navodayam Party,9,S01,ANDHRA PRADESH,530,0.04
CHINA NAGESWARA RAO SADHU,15,BAPATLA,463,Mundadugu Praja Party,3,S01,ANDHRA PRADESH,466,0.04
THUMATI RAVI,15,BAPATLA,368,All Peoples Party,2,S01,ANDHRA PRADESH,370,0.03
NUTHAKKI RAMA RAO,15,BAPATLA,600,All India Praja Party,6,S01,ANDHRA PRADESH,606,0.05
GELLA NAGAMALLI,15,BAPATLA,651,Independent,4,S01,ANDHRA PRADESH,655,0.05
GOLLA BABURAO,15,BAPATLA,1271,Independent,5,S01,ANDHRA PRADESH,1276,0.1
BUSSA NAGARAJU,15,BAPATLA,1943,Independent,8,S01,ANDHRA PRADESH,1951,0.15
CHEEMALA. RANGAPPA,25,CHITTOOR,24497,Indian National Congress,146,S01,ANDHRA PRADESH,24643,1.87
JAYARAM DUGGANI,25,CHITTOOR,10137,Bharatiya Janata Party,359,S01,ANDHRA PRADESH,10496,0.8
NARAMALLI SIVA PRASAD,25,CHITTOOR,545374,Telugu Desam,4147,S01,ANDHRA PRADESH,549521,41.65
C. PUNYAMURTHY,25,CHITTOOR,19952,Bahujan Samaj Party,110,S01,ANDHRA PRADESH,20062,1.52
N. REDDEPPA,25,CHITTOOR,681325,Yuvajana Sramika Rythu Congress Party,5467,S01,ANDHRA PRADESH,686792,52.05
PALLIPATTU. ABHINAV VISHNU,25,CHITTOOR,3441,Mundadugu Praja Party,4,S01,ANDHRA PRADESH,3445,0.26
P. RAMACHANDRAN,25,CHITTOOR,1854,Independent,9,S01,ANDHRA PRADESH,1863,0.14
A. HEMANTH,25,CHITTOOR,2089,Independent,5,S01,ANDHRA PRADESH,2094,0.16
KOTAGIRI SRIDHAR,10,ELURU,672834,Yuvajana Sramika Rythu Congress Party,3975,S01,ANDHRA PRADESH,676809,50.97
CHINNAM RAMA KOTAYYA,10,ELURU,8317,Bharatiya Janata Party,95,S01,ANDHRA PRADESH,8412,0.63
JETTI GURUNADHA RAO,10,ELURU,20284,Indian National Congress,94,S01,ANDHRA PRADESH,20378,1.53
MAGANTTI VENKATESWARA RAO BABU,10,ELURU,509549,Telugu Desam,1335,S01,ANDHRA PRADESH,510884,38.47
CHINA VENKATA SURYANARAYANA JOSYULA,10,ELURU,2932,Pyramid Party of India,3,S01,ANDHRA PRADESH,2935,0.22
PENTAPATI PULLARAO,10,ELURU,76481,Janasena Party,346,S01,ANDHRA PRADESH,76827,5.79
MATHE. BOBBY,10,ELURU,1871,Republican Party of India (A),8,S01,ANDHRA PRADESH,1879,0.14
V. SIVA RAMA KRISHNA,10,ELURU,1261,Jana Jagruti Party,0,S01,ANDHRA PRADESH,1261,0.09
ALAGA. RAVI KUMAR,10,ELURU,1648,Independent,0,S01,ANDHRA PRADESH,1648,0.12
DR.MENDEM. SANTHOSH KUMAR(PEDDABABU),10,ELURU,3010,Independent,0,S01,ANDHRA PRADESH,3010,0.23
JAYADEV GALLA,13,GUNTUR,586292,Telugu Desam,1626,S01,ANDHRA PRADESH,587918,43.5
JAYAPRAKASH NARAYANA VALLURU,13,GUNTUR,11667,Bharatiya Janata Party,174,S01,ANDHRA PRADESH,11841,0.88
MODUGULA VENUGOPALA REDDY,13,GUNTUR,580840,Yuvajana Sramika Rythu Congress Party,2873,S01,ANDHRA PRADESH,583713,43.19
SHAIK MASTANVALI,13,GUNTUR,14124,Indian National Congress,81,S01,ANDHRA PRADESH,14205,1.05
ARAVETI HAZARATH RAO,13,GUNTUR,808,Pyramid Party of India,2,S01,ANDHRA PRADESH,810,0.06
ULLAGI DAVID JAYAKUMAR,13,GUNTUR,447,Hardam Manavtawadi Rashtriya Dal,0,S01,ANDHRA PRADESH,447,0.03
JELDI RAJA MOHAN,13,GUNTUR,437,All India Praja Party,0,S01,ANDHRA PRADESH,437,0.03
NAGARAJU EKULA,13,GUNTUR,920,Republican Party of India (A),0,S01,ANDHRA PRADESH,920,0.07
BONABOYINA SRINIVASA RAO,13,GUNTUR,128746,Janasena Party,459,S01,ANDHRA PRADESH,129205,9.56
MANNAVA HARIPRASAD,13,GUNTUR,3212,Communist Party of India (Marxist-Leninist) Red Star,4,S01,ANDHRA PRADESH,3216,0.24
RAMARAO SIMHADRI,13,GUNTUR,1744,Praja Shanthi Party,2,S01,ANDHRA PRADESH,1746,0.13
JACOB VIDYASAGAR NAKKA,13,GUNTUR,639,Viduthalai Chiruthaigal Katchi,2,S01,ANDHRA PRADESH,641,0.05
SARABANDI RAJU SIKHINAM,13,GUNTUR,1015,Indian Labour Party (Ambedkar Phule),2,S01,ANDHRA PRADESH,1017,0.08
SHAIK JALEEL,13,GUNTUR,560,Navarang Congress Party,3,S01,ANDHRA PRADESH,563,0.04
SAMUDRALA CHINNA KOTAIAH,13,GUNTUR,628,National Dalitha Dhal Party,0,S01,ANDHRA PRADESH,628,0.05
UMAR BASHA SHAIK,13,GUNTUR,2676,Independent,0,S01,ANDHRA PRADESH,2676,0.2
DASARI KIRAN BABU,13,GUNTUR,2907,Independent,2,S01,ANDHRA PRADESH,2909,0.22
DOPPALAPUDI VEERA DAS,13,GUNTUR,629,Independent,0,S01,ANDHRA PRADESH,629,0.05
YANAMADALA VENKATA SURESH,13,GUNTUR,1947,Independent,0,S01,ANDHRA PRADESH,1947,0.14
KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),20,HINDUPUR,26973,Indian National Congress,183,S01,ANDHRA PRADESH,27156,2.03
KURUVA GORANTLA MADHAV,20,HINDUPUR,699739,Yuvajana Sramika Rythu Congress Party,6863,S01,ANDHRA PRADESH,706602,52.79
KRISTAPPA . NIMMALA,20,HINDUPUR,561602,Telugu Desam,4252,S01,ANDHRA PRADESH,565854,42.27
MITTA PARTHASARATHI,20,HINDUPUR,13530,Bharatiya Janata Party,275,S01,ANDHRA PRADESH,13805,1.03
RAM MOHAN SINGAMNENI,20,HINDUPUR,1305,Pyramid Party of India,8,S01,ANDHRA PRADESH,1313,0.1
S.R.ANJANEYULU,20,HINDUPUR,1215,Independent,12,S01,ANDHRA PRADESH,1227,0.09
GOGULA PULAKUNTA JAYANTH,20,HINDUPUR,1578,Independent,4,S01,ANDHRA PRADESH,1582,0.12
MUGI SURYA PRAKASH,20,HINDUPUR,1315,Independent,1,S01,ANDHRA PRADESH,1316,0.1
RAMAMOHAN D.G.,20,HINDUPUR,2230,Independent,1,S01,ANDHRA PRADESH,2231,0.17
Y.S.AVINASH REDDY,21,KADAPA,777967,Yuvajana Sramika Rythu Congress Party,5532,S01,ANDHRA PRADESH,783499,63.79
CHADIPIRALA ADI NARAYANA REDDY,21,KADAPA,400142,Telugu Desam,2631,S01,ANDHRA PRADESH,402773,32.79
GUNDLAKUNTA SREERAMULU,21,KADAPA,8280,Indian National Congress,61,S01,ANDHRA PRADESH,8341,0.68
GUJJULA ESWARAIAH,21,KADAPA,6152,Communist Party of India,90,S01,ANDHRA PRADESH,6242,0.51
